timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646598045775,1748,Climate Request,200,OK,Project Demo 1-3,text,true,,108120,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,235,0,0
1646598045775,235,Climate Request-0,301,Moved Permanently,Project Demo 1-3,text,true,,1535,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,235,0,0
1646598046010,1513,Climate Request-1,200,OK,Project Demo 1-3,text,true,,106585,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,1454,0,0
1646598045769,1796,Climate Request,200,OK,Project Demo 1-11,text,true,,108118,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,224,0,0
1646598045769,224,Climate Request-0,301,Moved Permanently,Project Demo 1-11,text,true,,1533,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,224,0,0
1646598045993,1572,Climate Request-1,200,OK,Project Demo 1-11,text,true,,106585,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,1537,0,0
1646598045956,2605,Climate Request,200,OK,Project Demo 1-20,text,true,,108118,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,284,0,0
1646598045956,284,Climate Request-0,301,Moved Permanently,Project Demo 1-20,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,284,0,0
1646598046240,2321,Climate Request-1,200,OK,Project Demo 1-20,text,true,,106581,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2261,0,0
1646598045924,2667,Climate Request,200,OK,Project Demo 1-14,text,true,,108128,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,293,0,0
1646598045924,293,Climate Request-0,301,Moved Permanently,Project Demo 1-14,text,true,,1541,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,293,0,0
1646598046217,2374,Climate Request-1,200,OK,Project Demo 1-14,text,true,,106587,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2282,0,0
1646598045933,2820,Climate Request,200,OK,Project Demo 1-4,text,true,,108126,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,317,0,0
1646598045933,317,Climate Request-0,301,Moved Permanently,Project Demo 1-4,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,317,0,0
1646598046251,2502,Climate Request-1,200,OK,Project Demo 1-4,text,true,,106589,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2451,0,0
1646598045911,2908,Climate Request,200,OK,Project Demo 1-25,text,true,,108120,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,395,0,0
1646598045911,395,Climate Request-0,301,Moved Permanently,Project Demo 1-25,text,true,,1533,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,395,0,0
1646598046307,2512,Climate Request-1,200,OK,Project Demo 1-25,text,true,,106587,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2446,0,0
1646598045843,3000,Climate Request,200,OK,Project Demo 1-17,text,true,,108120,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,445,0,0
1646598045843,446,Climate Request-0,301,Moved Permanently,Project Demo 1-17,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,445,0,0
1646598046289,2554,Climate Request-1,200,OK,Project Demo 1-17,text,true,,106583,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2489,0,0
1646598046399,2484,Climate Request,200,OK,Project Demo 1-1,text,true,,108132,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,191,0,0
1646598046399,192,Climate Request-0,301,Moved Permanently,Project Demo 1-1,text,true,,1539,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,191,0,0
1646598046591,2292,Climate Request-1,200,OK,Project Demo 1-1,text,true,,106593,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2210,0,0
1646598046254,2730,Climate Request,200,OK,Project Demo 1-23,text,true,,108118,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,211,0,0
1646598046254,211,Climate Request-0,301,Moved Permanently,Project Demo 1-23,text,true,,1531,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,211,0,0
1646598046465,2519,Climate Request-1,200,OK,Project Demo 1-23,text,true,,106587,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2441,0,0
1646598045968,3066,Climate Request,200,OK,Project Demo 1-13,text,true,,108130,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,268,0,0
1646598045968,277,Climate Request-0,301,Moved Permanently,Project Demo 1-13,text,true,,1537,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,268,0,0
1646598046245,2789,Climate Request-1,200,OK,Project Demo 1-13,text,true,,106593,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,2243,0,0
1646598045772,3311,Climate Request,200,OK,Project Demo 1-21,text,true,,108136,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,223,0,0
1646598045772,223,Climate Request-0,301,Moved Permanently,Project Demo 1-21,text,true,,1545,148,25,25,http://www.fibaro.com/en/smart-home-in-use/smart-hvac/,223,0,0
1646598045995,3088,Climate Request-1,200,OK,Project Demo 1-21,text,true,,106591,148,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,3016,0,0
1646598046420,2836,Climate Request,200,OK,Project Demo 1-12,text,true,,108114,296,25,25,https://www.fibaro.com/en/smart-home-in-use/smart-hvac/,134,0,0
