timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.6466E+12,6470,HomePage Request,200,OK,Project Demo 1-11,text,FALSE,"The operation lasted too long: It took 6,470 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103980,351,25,25,https://www.fibaro.com/en/,199,0,61
1.6466E+12,200,HomePage Request-0,301,Moved Permanently,Project Demo 1-11,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,199,0,61
1.6466E+12,5977,HomePage Request-1,301,Moved Permanently,Project Demo 1-11,text,TRUE,,1043,116,25,25,https://www.fibaro.com/,5977,0,5138
1.6466E+12,293,HomePage Request-2,200,OK,Project Demo 1-11,text,TRUE,,101434,119,25,25,https://www.fibaro.com/en/,180,0,0
1.6466E+12,6019,HomePage Request,200,OK,Project Demo 1-21,text,FALSE,"The operation lasted too long: It took 6,019 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103987,351,25,25,https://www.fibaro.com/en/,211,0,63
1.6466E+12,211,HomePage Request-0,301,Moved Permanently,Project Demo 1-21,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,211,0,63
1.6466E+12,5518,HomePage Request-1,301,Moved Permanently,Project Demo 1-21,text,TRUE,,1043,116,25,25,https://www.fibaro.com/,5518,0,4735
1.6466E+12,289,HomePage Request-2,200,OK,Project Demo 1-21,text,TRUE,,101441,119,25,25,https://www.fibaro.com/en/,199,0,0
1.6466E+12,6640,HomePage Request,200,OK,Project Demo 1-3,text,FALSE,"The operation lasted too long: It took 6,640 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103984,351,25,25,https://www.fibaro.com/en/,400,0,222
1.6466E+12,406,HomePage Request-0,301,Moved Permanently,Project Demo 1-3,text,TRUE,,1507,116,25,25,http://www.fibaro.com/,400,0,222
1.6466E+12,5948,HomePage Request-1,301,Moved Permanently,Project Demo 1-3,text,TRUE,,1037,116,25,25,https://www.fibaro.com/,5948,0,5163
1.6466E+12,274,HomePage Request-2,200,OK,Project Demo 1-3,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,180,0,0
1.6466E+12,6399,HomePage Request,200,OK,Project Demo 1-17,text,FALSE,"The operation lasted too long: It took 6,399 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103980,351,25,25,https://www.fibaro.com/en/,146,0,44
1.6466E+12,146,HomePage Request-0,301,Moved Permanently,Project Demo 1-17,text,TRUE,,1505,116,25,25,http://www.fibaro.com/,146,0,44
1.6466E+12,5917,HomePage Request-1,301,Moved Permanently,Project Demo 1-17,text,TRUE,,1037,116,25,25,https://www.fibaro.com/,5917,0,4976
1.6466E+12,334,HomePage Request-2,200,OK,Project Demo 1-17,text,TRUE,,101438,119,25,25,https://www.fibaro.com/en/,221,0,0
1.6466E+12,6117,HomePage Request,200,OK,Project Demo 1-25,text,FALSE,"The operation lasted too long: It took 6,117 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103987,351,25,25,https://www.fibaro.com/en/,194,0,44
1.6466E+12,194,HomePage Request-0,301,Moved Permanently,Project Demo 1-25,text,TRUE,,1503,116,25,25,http://www.fibaro.com/,194,0,44
1.6466E+12,5636,HomePage Request-1,301,Moved Permanently,Project Demo 1-25,text,TRUE,,1039,116,25,25,https://www.fibaro.com/,5636,0,4583
1.6466E+12,286,HomePage Request-2,200,OK,Project Demo 1-25,text,TRUE,,101445,119,25,25,https://www.fibaro.com/en/,192,0,0
1.6466E+12,6595,HomePage Request,200,OK,Project Demo 1-14,text,FALSE,"The operation lasted too long: It took 6,595 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",103986,351,25,25,https://www.fibaro.com/en/,196,0,61
1.6466E+12,196,HomePage Request-0,301,Moved Permanently,Project Demo 1-14,text,TRUE,,1499,116,25,25,http://www.fibaro.com/,196,0,61
1.6466E+12,5962,HomePage Request-1,301,Moved Permanently,Project Demo 1-14,text,TRUE,,1045,116,25,25,https://www.fibaro.com/,5962,0,5011
1.6466E+12,435,HomePage Request-2,200,OK,Project Demo 1-14,text,TRUE,,101442,119,25,25,https://www.fibaro.com/en/,137,0,0
1.6466E+12,6952,HomePage Request,200,OK,Project Demo 1-4,text,FALSE,"The operation lasted too long: It took 6,952 milliseconds,
 but should not have lasted longer than 5,000 milliseconds.",104000,351,25,25,https://www.fibaro.com/en/,1335,0,1228
1.6466E+12,1335,HomePage Request-0,301,Moved Permanently,Project Demo 1-4,text,TRUE,,1513,116,25,25,http://www.fibaro.com/,1335,0,1228
1.6466E+12,5321,HomePage Request-1,301,Moved Permanently,Project Demo 1-4,text,TRUE,,1047,116,25,25,https://www.fibaro.com/,5321,0,4280
1.6466E+12,295,HomePage Request-2,200,OK,Project Demo 1-4,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,183,0,0
1.6466E+12,6395,HomePage Request,200,OK,Project Demo 1-20,text,FALSE,"The operation lasted too long: It took 6,395 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103990,351,25,25,https://www.fibaro.com/en/,201,0,67
1.6466E+12,202,HomePage Request-0,301,Moved Permanently,Project Demo 1-20,text,TRUE,,1505,116,25,25,http://www.fibaro.com/,201,0,67
1.6466E+12,5864,HomePage Request-1,301,Moved Permanently,Project Demo 1-20,text,TRUE,,1045,116,25,25,https://www.fibaro.com/,5864,0,4784
1.6466E+12,328,HomePage Request-2,200,OK,Project Demo 1-20,text,TRUE,,101440,119,25,25,https://www.fibaro.com/en/,202,0,0
1.6466E+12,6676,HomePage Request,200,OK,Project Demo 1-13,text,FALSE,"The operation lasted too long: It took 6,676 milliseconds, 
but should not have lasted longer than 5,000 milliseconds.",103984,351,25,25,https://www.fibaro.com/en/,183,0,43
1.6466E+12,183,HomePage Request-0,301,Moved Permanently,Project Demo 1-13,text,TRUE,,1507,116,25,25,http://www.fibaro.com/,183,0,43
1.6466E+12,6024,HomePage Request-1,301,Moved Permanently,Project Demo 1-13,text,TRUE,,1041,116,25,25,https://www.fibaro.com/,6024,0,5125
